Id,Text,Topic,processed_Text
3,"<p>Technically speaking, questions for debugging would be on-topic on Stack Overflow. However, a bit of overlap between Stack Exchange sites is not unusual, and the community over here might be able to provide some insights in the broader area of computer graphics.</p>

<p>So, would questions about debugging OpenGL (or OpenGL ES) be on-topic?</p>
",ComputerGraphicmeta,technically speaking questions debugging would topic stack overflow however bit overlap stack exchange sites unusual community might able provide insights broader area computer graphics would questions debugging opengl opengl es topic
3,"<h2>Yes, they are</h2>

<p>Debugging shaders can be quite different from ""normal"" debugging, and involves very unique challenges. Furthermore, someone not working with computer graphics will never encounter these issues. It's important to have these questions in this community where we have computer graphics experts to answer them, and where people seeking help with CG programming will likely try to find them.</p>

<p>(Coincidentally, <a href=""http://area51.stackexchange.com/proposals/74985/computer-graphics/75107#75107"">this was my only score-11 example question</a> during the definition phase, so I guess this topic would indeed be quite popular.)</p>
",ComputerGraphicmeta,yes debugging shaders quite different normal debugging involves unique challenges furthermore someone working computer graphics never encounter issues important questions community computer graphics experts answer people seeking help cg programming likely try find coincidentally definition phase guess topic would indeed quite popular
3,"<p>This site is for a 3d (or any graphics) programing, and as such the debugging part belongs here. It is also highly specialized programming and especially challenging to debug. </p>

<p>So yes it definitely belongs here</p>
",ComputerGraphicmeta,site 3d graphics programing debugging part belongs also highly specialized programming especially challenging debug yes definitely belongs
3,"<p><a href=""https://meta.stackexchange.com/a/223675/201409"">One of the (real) essential questions of a private beta</a> is what to call <a href=""http://chat.stackexchange.com/rooms/26589/computer-graphics""><strong>our chatroom</strong></a>. Having an active and welcoming main chatroom will hopefully help in forming an active community and surviving the beta phase. Giving it a unique name should hopefully help make this more fun an interesting.</p>

<p>Please post one suggestion per answer and vote according to your preferences.</p>
",ComputerGraphicmeta,call active welcoming main chatroom hopefully help forming active community surviving beta phase giving unique name hopefully help make fun interesting please post one suggestion per answer vote according preferences
3,"<h1>The Cornell Box</h1>

<p><a href=""https://en.wikipedia.org/wiki/Cornell_box"" rel=""nofollow"">This thing</a>:</p>

<p><img src=""https://upload.wikimedia.org/wikipedia/commons/2/24/Cornell_box.png"" alt=""Cornell Box""></p>
",ComputerGraphicmeta,cornell box
3,"<h2>The Teapot</h2>

<p>Teapots are the recurring joke of Computer Graphics, so we'd all discuss things while having tea from our properly rendered teapots.</p>
",ComputerGraphicmeta,teapot teapots recurring joke computer graphics would discuss things tea properly rendered teapots
3,"<p>It looks like all we have is preformatted text</p>

<pre><code>int i = 0;
for (i = 0; i &lt; 10; ++i)
{
    ....
}
</code></pre>

<p>Could we get prettier markup? maybe C++ syntax highlighting would be decent enough?</p>

<p>We'll surely have quite a bit of shader code (GLSL and HLSL), but probably lots of C++ and some other languages as well.</p>
",ComputerGraphicmeta,looks like preformatted text int 0for 0 could get prettier markup maybe c syntax highlighting would decent enough surely quite bit shader code glsl hlsl probably lots c languages well
3,"<p>For example, would questions like <a href=""https://blender.stackexchange.com/questions/5820/how-is-cycles-different-from-blender-internal"">https://blender.stackexchange.com/questions/5820/how-is-cycles-different-from-blender-internal</a> be on-topic for this site, or would they be preferred moved to their specific site?</p>

<p>Some systems, such as Microsoft's DirectX, Valve's Source Engine, Nvidia 3D, might have questions relating to how they function or differ from similar systems, how they make use of the hardware, or their methods in rendering such as shaders.</p>

<p>Would questions asking about how specific graphics engines' methods be on topic?</p>

<p>Examples to consider:<br>
""What shaders does [system] use to get effects like X?""<br>
""How does [system] compare to method X in terms of [method comparison]?""<br>
""How can I use [specific method] in [system]?""<br>
""How does OpenGL compare with DirectX?""
""What role do the Mesa drivers play in a video stack?""</p>

<p>Questions of engine preference are of course, not so on-topic, but what about asking for an honest comparison of systems in terms of X?</p>
",ComputerGraphicmeta,example would questions like topic site would preferred moved specific site systems microsoft directx valve source engine nvidia 3d might questions relating function differ similar systems make use hardware methods rendering shaders would questions asking specific graphics engines methods topic examples consider shaders system use get effects like x system compare method x terms method comparison use specific method system opengl compare directxwhat role mesa drivers play video stack questions engine preference course topic asking honest comparison systems terms x
3,"<p>Since there are several other sites that partially overlap with this one (<a href=""https://stackoverflow.com/"">Stack Overflow</a> in particular), what are the criteria for keeping a question here vs. migrating it to Stack Overflow?</p>

<p>In particular, I have a lot of Java and SVG graphics questions. Sometimes a question might on the border of performance vs. API vs. alternative methods of drawing.</p>
",ComputerGraphicmeta,since several sites partially overlap one particular criteria keeping question vs migrating stack overflow particular lot java svg graphics questions sometimes question might border performance vs api vs alternative methods drawing
3,"<p>A specific question about the internals of a specific system should be on-topic. </p>

<p>The linked question isn't that great; it asks how two different systems work (too broad) and which is better (primarily opinion-based).</p>

<p>However, a better understanding of the internals of an engine, or the specific algorithms used, should be quite useful. </p>

<p>We should be careful of ""holy wars""; how DirectX compares to OpenGL is one of these. However, if it is about a specific, <em>technical</em> aspect of these, something that can be objectively answered - that should be on-topic.</p>

<p>Ultimately, the two criteria are:</p>

<ul>
<li>Can it be objectively answered?</li>
<li>Is it useful for future visitors?</li>
</ul>

<p>And I'm willing to be lenient on that second question.</p>
",ComputerGraphicmeta,specific question internals specific system topic linked question great asks two different systems work broad better primarily opinion based however better understanding internals engine specific algorithms used quite useful careful holy wars directx compares opengl one however specific technical aspect something objectively answered topic ultimately two criteria objectively answered useful future visitors willing lenient second question
